symbol,date,open,high,low,close,adjusted_close,volume
MSFT,2024-09-19,441.225,441.5,436.9,438.69,433.6179,21706561
NVDA,2024-09-19,117.35,119.66,117.25,117.87,117.8233,293506406
SPY,2024-09-19,571.01,572.88,568.08,570.98,559.2041,75315500
AAPL,2024-09-20,229.97,233.09,227.62,228.2,226.7108,318679900
MSFT,2024-09-20,437.22,439.24,434.22,435.27,430.2375,55167113
NVDA,2024-09-20,117.06,118.6181,115.3901,116.0,115.954,382462406
SPY,2024-09-20,567.84,569.31,565.17,568.25,558.2375,77503100
AAPL,2024-09-23,227.34,229.45,225.81,226.47,224.992,54146000
MSFT,2024-09-23,434.28,436.46,430.3889,433.51,428.4978,15128890
NVDA,2024-09-23,116.55,116.99,114.86,116.26,116.2139,206228500
SPY,2024-09-23,569.34,570.33,568.1,569.67,559.6324,44116900
AAPL,2024-09-24,228.65,229.35,225.73,227.37,225.8862,43556100
MSFT,2024-09-24,433.0,433.35,426.1,429.17,424.208,17015750
NVDA,2024-09-24,116.515,121.8,115.38,120.87,120.8221,354966781
SPY,2024-09-24,570.48,571.36,567.6,571.3,561.2337,46805700
AAPL,2024-09-25,224.93,227.29,224.02,226.37,224.8927,42308700
MSFT,2024-09-25,429.83,433.119,428.57,432.11,427.114,13396360
NVDA,2024-09-25,122.02,124.94,121.61,123.51,123.461,284692906
SPY,2024-09-25,571.14,571.89,568.91,570.04,559.9959,38428600
AAPL,2024-09-26,227.3,228.5,225.41,227.52,226.0352,36636700
MSFT,2024-09-26,435.085,435.3,429.13,431.31,426.3233,14492040
NVDA,2024-09-26,126.8,127.665,121.8,124.04,123.9908,302582906
SPY,2024-09-26,574.38,574.71,569.9,572.3,562.2161,48336000
AAPL,2024-09-27,228.46,229.52,227.3,227.79,226.3034,34026000
MSFT,2024-09-27,431.52,431.85,427.47,428.02,423.0713,14896130
NVDA,2024-09-27,123.97,124.03,119.26,121.4,121.3519,271009219
SPY,2024-09-27,573.39,574.22,570.42,571.47,561.4007,42100900
AAPL,2024-09-30,230.04,233.0,229.65,233.0,231.4794,54541900
MSFT,2024-09-30,428.21,430.42,425.37,430.3,425.3249,16854609
NVDA,2024-09-30,118.31,121.5,118.15,121.44,121.3919,227053703
SPY,2024-09-30,570.42,574.38,568.08,573.76,563.6504,63557400
AAPL,2024-10-01,229.52,229.65,223.74,226.21,224.7337,63285000
MSFT,2024-10-01,428.45,428.48,418.81,420.69,415.826,19092949
NVDA,2024-10-01,121.765,122.4351,115.79,117.0,116.9536,302094500
SPY,2024-10-01,573.4,574.06,566.0,568.62,558.6009,72668800
AAPL,2024-10-02,225.89,227.37,223.02,226.78,225.3,32880600
MSFT,2024-10-02,422.58,422.82,416.71,417.13,412.3072,16582260
NVDA,2024-10-02,116.44,119.38,115.14,118.85,118.8029,221845906
SPY,2024-10-02,567.71,569.9,565.27,568.86,558.8367,38097800
AAPL,2024-10-03,225.14,226.81,223.32,225.67,224.1973,34044200
MSFT,2024-10-03,417.63,419.55,414.29,416.54,411.724,13686420
NVDA,2024-10-03,120.92,124.36,120.3401,122.85,122.8013,277118031
SPY,2024-10-03,567.36,569.8,565.49,567.82,557.815,40846500
AAPL,2024-10-04,227.9,228.0,224.13,226.8,225.3199,37245100
MSFT,2024-10-04,418.24,419.75,414.97,416.06,411.2496,19190910
NVDA,2024-10-04,124.94,125.04,121.83,124.92,124.8705,244465594
SPY,2024-10-04,572.35,573.36,568.1,572.98,562.8841,42939100
AAPL,2024-10-07,224.5,225.69,221.33,221.69,220.2432,39505400
MSFT,2024-10-07,416.0,417.11,409.0,409.54,404.805,20919760
NVDA,2024-10-07,124.99,130.64,124.95,127.72,127.6694,346250219
SPY,2024-10-07,571.3,571.96,566.63,567.8,557.7954,49964700
AAPL,2024-10-08,224.3,225.98,223.25,225.77,224.2966,31855700
MSFT,2024-10-08,410.9,415.66,408.17,414.71,409.9152,19229260
NVDA,2024-10-08,130.26,133.48,129.42,132.89,132.8373,285722500
SPY,2024-10-08,570.42,573.78,569.53,573.17,563.0708,37398700
AAPL,2024-10-09,225.23,229.75,224.83,229.54,228.042,33591100
MSFT,2024-10-09,415.86,420.38,414.3,417.46,412.6334,14974260
NVDA,2024-10-09,134.11,134.52,131.38,132.65,132.5974,246191594
